Restaurant,Address,Coordinates,Cusines
Lolla,22 Ann Siang Road Singapore (069702),"1.2810553, 103.8456513",International
Lombardo's Singapore,15 Duxton Road Singapore (089481),"1.2797794, 103.8434123","Bar, International, Burgers"
Long Beach @ Dempsey,25 Dempsey Road Singapore (249670),"1.3063069, 103.8119617","Chinese, Seafood, Local"
Long Beach @ Robertson Quay,60 Robertson Quay#01-14The Quayside Singapore (238252),"1.2900873, 103.8353025","Chinese, Seafood, Local, Dim Sum"
LongQing,18 Hong Kong Street Singapore (059661),"1.2878181, 103.8472931","Chinese, Seafood, Local, Steamboat"
Loof,"331 North Bridge Road, Odeon Towers Singapore (188720)","1.2962396, 103.8532832","Bar, Local, Southeast Asian"
Los Amigos Taqueria,85 Circular Road#01-01Singapore (049437),"1.2874271, 103.8488084","Bar, Vegetarian Friendly, Mexican"
The Lounge Bar,76A Duxton Road Level 2Singapore (089535),"1.2782996, 103.8431688",French
LQV Le Quinze Vins,29 Boon Tat Street Singapore (069624),"1.2812057, 103.8486065","Bar, French"
Lubnan Authentic Lebanese Cuisine,32 Bussorah Street Singapore (199450),"1.301653, 103.859825",Middle Eastern
Lucha Loco,15 Duxton Hill Singapore (089598),"1.2788001, 103.8427067",Mexican
LUKA @ Cross Street Exchange,20 Cross Street#01-36China Square Central Singapore (048422),"1.283775, 103.8474967","Modern European, Italian, Pizza"
LUKA @ Tanjong Pagar,18 Tanjong Pajar Road Singapore (088441),"1.2799741, 103.843828","Modern European, Italian, Pizza"
Lumo,50 South Bridge Road#1-00CMO Building Singapore (058682),"1.2876212, 103.8481877",Modern European
M&S Café (Wheelock Place),501 Orchard Road#01-K2Wheelock Place Singapore (238880),"1.3047145, 103.8305375","All-Day Breakfast, British, Vegetarian Friendly, Cafe"
Madame Fan,32 Beach Road The NCO Club Singapore (189764),"1.2940932, 103.8550067","Chinese, Seafood, Dim Sum"
Made In Orient by Chef Avenue,26 Tai Seng Street#01-02Singapore (534057),"1.3355054, 103.8892064",Chinese
Madrinaa Italiano,Blk 44 Jalan Merah Saga#01-60 Chip Bee Gardens Holland Village Singapore 278116,"1.3113911, 103.7965864",Italian
Mag's Wine Kitchen,55 Keong Saik Road#01-06Singapore (089158),"1.2806857, 103.8414578","Modern European, French"
Magal BBQ (마포갈매기),123 Telok Ayer Street Singapore (068592),"1.2811642, 103.8480812","Korean, Seafood, Vegetarian Friendly, BBQ"
Magosaburo,391 Orchard Road#05-31Ngee Ann City Singapore (238878),"1.3025572, 103.834568","Japanese, Steakhouse, BBQ"
Maharajah,41 Boat Quay Singapore (049830),"1.2865493, 103.849507",Indian
Majestic Bay Seafood Restaurant,"18 Marina Gardens Drive #01-10Below Flower Dome, Gardens By The Bay Singapore (018953)","1.2815683, 103.8636132","Chinese, Seafood, Local, Dim Sum, Zi Char"
Majestic Restaurant,5 Straits View#04-01Marina One The Heart Singapore (018935),"1.2779663, 103.8528486","Chinese, Dim Sum"
Major 99,4190 Ang Mo Kio Ave 6 #02-02Broadway Plaza Singapore (569841),"1.3719561, 103.8459506",Bar
Makan@Jen,277 Orchard Road#10-01Hotel Jen Orchardgateway Singapore (238858),"1.300864, 103.8388283","International, Seafood, All-Day Breakfast, Local"
The Malayan Council (Bussorah Street),71 Bussorah Street Singapore (199484),"1.3008556, 103.8599303",Cafe
The Malayan Council (Dunlop),22 Dunlop Street Singapore (209350),"1.304478, 103.854094","Fusion, Vegetarian Friendly, Cafe"
The Malayan Council (Winstedt),10 Winstedt Road#01-27Singapore (227977),"1.3093609, 103.841643","Fusion, Vegetarian Friendly"
malts,6 Raffles Boulevard#01-07/08Marina Square Singapore (039594),"1.2911534, 103.8576778",Bar
Man Fu Yuan,80 Middle Road Level 2Inter Continental Singapore Singapore (188966),"1.2983644, 103.8549173","Chinese, Dim Sum"
Man Man Japanese Unagi Restaurant (Delivery),1 Keong Saik Road#01-01Singapore (089109),"1.2789177, 103.8414072",Japanese
Manhattan,1 Cuscaden Road Level 2Regent Singapore Singapore (249715),"1.3046549, 103.8249313","American, Bar, Seafood"
Manpei 万平,5 Magazine Road#01-01Central Mall Singapore (059571),"1.288485, 103.8425587",Japanese
Marcy's,39-40 Duxton Road Singapore (089503),"1.2787642, 103.8435226","Italian, Seafood, South American"
Margarita's Dempsey Hill,Blk 11 Dempsey Road#01-19Singapore (249673),"1.3043337, 103.8099395","Vegetarian Friendly, Mexican"
The Market Grill,208 Telok Ayer Street Singapore (068642),"1.2799688, 103.8471269","American, Bar, Seafood, Steakhouse, Cajun, Burgers"
The Marmalade Pantry (Downtown),100 Peck Seah Street#01-01Oasia Hotel Downtown Singapore (079333),"1.2758848, 103.8444575","American, Local, Cafe"
The Marmalade Pantry (ION Orchard),2 Orchard Turn#04-11AION Orchard Singapore (238801),"1.3039288, 103.8319512","American, Cafe"
The Marmalade Pantry (Novena),8 Sinaran Drive#01-02/04Oasia Hotel Novena Singapore (307470),"1.3200679, 103.8445577","American, Local, Cafe"
Marriott Café,320 Orchard Road Lobby Level Singapore Marriott Tang Plaza Hotel Singapore (238865),"1.3052151, 103.8329675",International
Maru Japanese Restaurant,12 Gopeng Street#01-05Icon Village Singapore (078877),"1.2753013, 103.8443917","Bar, Japanese, Fusion, Modern Asian"
MARUKYU,116 Telok Ayer Street Singapore (068585),"1.281985, 103.8482364",Japanese
Marusaya,86 Robertson Quay Singapore (238245),"1.2900394, 103.8373405",Japanese
The Mask,23-24 Circular Road Singapore (049380),"1.287175, 103.8490811","Bar, Indian, Middle Eastern, Vegetarian Friendly, Mexican"
Matsukiya,290 Orchard Road#05-04Paragon Singapore (238859),"1.3038699, 103.8357982",Japanese
Matsuya Dining,15 Beach Road#01-01Beach Centre Singapore (189677),"1.2958614, 103.8555479","Japanese, Seafood"
Maxim Grill Turkish Restaurant,72 Bussorah Street Singapore (199485),"1.3009011, 103.8599624","Middle Eastern, Seafood, Vegetarian Friendly, Halal Certified, Turkish"
Maya's Kitchen,500 Jalan Sultan#01-11Singapore (199020),"1.3058549, 103.8603848","Indian, Vegetarian Friendly"
Mazzo Restaurant & Bar,56 Club Street Singapore (069431),"1.282069, 103.8457786","Bar, Italian"
Meat You Here,271 Bukit Timah Road#01-04Balmoral Plaza Singapore (259708),"1.3165038, 103.8353812","American, Steakhouse, Burgers"
Meating Place,7 Fraser Street#01-27Duo Galleria Singapore (189356),"1.2992641, 103.8579913","Bar, Steakhouse, Modern Asian"
MeatSmith (Little India),21 Campbell Lane Singapore (209894),"1.305333, 103.852458","American, Bar, Steakhouse, BBQ"
MeatSmith (Telok Ayer),167 Telok Ayer Street Singapore (068618),"1.280169, 103.847458","American, BBQ"
The Mediterranean Deli Turk,34B Lorong Mambong Holland Village Singapore (277691),"1.3118387, 103.794617","Middle Eastern, Seafood, Vegetarian Friendly, Vegetarian"
MediumRare by Saveur,2 Tampines Central 5#01-35Century Square Singapore (529509),"1.3523888, 103.9438567",Steakhouse
MEDZS Bistro & Bar,24 Raffles Place#01-01Clifford Centre Singapore (048621),"1.2837979, 103.8525104","Bar, Modern European, Steakhouse"
Meet & Meat - Street Food,37 East Coast Road Singapore (428755),"1.304804, 103.902931","French, Italian, Fusion, Steakhouse, All-Day Breakfast, Cafe, Burgers, BBQ"
Melben Seafood Restaurant,1 Pasir Ris Close#01-302/303Market Square @ Downtown East E!Avenue Singapore (519599),"1.3778367, 103.9550988","Chinese, Seafood"
Meld's Boba Cafe,44A Prinsep Street Singapore (188674),"1.299575, 103.849636","American, All-Day Breakfast, Cafe, Pizza"
Melt Cafe,5 Raffles Avenue The Mandarin Oriental Singapore (039797),"1.2908185, 103.8582972","Buffet, International"
Meta Restaurant,1 Keong Saik Road Singapore (089109),"1.2789177, 103.8414072","Japanese, Korean, Fusion, Modern Asian"
Metropolitan YMCA Singapore,60 Stevens Road Singapore (257854),"1.3164696, 103.8266074","Buffet, Chinese, International, Local, Cafe"
Mezza9,10 Scotts Road Grand Hyatt Singapore (228211),"1.3065838, 103.8331003","Bar, Chinese, Japanese, Thai, International, Seafood, Steakhouse, Vegetarian Friendly, Local"
Mikoto Singapore,60 Robertson Quay#01-12Singapore (238252),"1.2903566, 103.8394691",Japanese
Mikuni,80 Bras Basah Road Level 3Fairmont Singapore Singapore (189560),"1.293396, 103.8534619","Seafood, Vegetarian Friendly, BBQ"
Mimi Restaurant,3A River Valley Road Level 2Singapore (179020),"1.2901792, 103.8450852","Chinese, Modern Asian"
Miraku,3 Pickering Street#01-31Nankin Row Singapore (048660),"1.2847536, 103.8478027",Japanese
Miryoku Bistro,5 Stadium Walk#01-40Kallang Leisure Park Singapore (397693),"1.3022222, 103.8763889","Japanese, Italian, Fusion, Pizza"
Misaki Japanese Restaurant,12 Marina Boulevard#02-08Marina Bay Financial Centre Tower 3Singapore (018982),"1.2790221, 103.8544967",Japanese
Mischief,8 Raffles Avenue01-10/12Esplanade Singapore (039802),"1.289521, 103.8559327","Bar, Burgers, BBQ"
Miska Cafe (Sentosa),31 Ocean Way#01-07Quayside Isle Sentosa Cove Singapore (098375),"1.2476808, 103.8420723","Bar, Italian, All-Day Breakfast, Greek, Vegetarian Friendly, Cafe"
Mister Wu (HQ),62 Ubi Road 1Level 11 Rooftop Oxley Bizhub 2Singapore (408734),"1.3319006, 103.8917054","Chinese, Japanese, Italian, Steakhouse, Dim Sum"
Mitsu Sushi Bar,21 Duxton Road Singapore (089487),"1.2794901, 103.8433973","Japanese, Seafood"
Mitsuba Japanese Restaurant,"6 Eu Tong Sen Street #03-88,The Central Singapore (059817)","1.289265, 103.846356",Japanese
Mitzo Restaurant & Bar,270 Orchard Road Grand Park Orchard Singapore (238857),"1.3035171, 103.836278","Chinese, Dim Sum"
Miyu,74 Duxton Road Singapore (089533),"1.2782543, 103.8431378",Japanese
Miznon,6 Stanley Street#01-01Singapore (068725),"1.279986, 103.847797","Middle Eastern, Vegetarian Friendly"
Mizuki,391 Orchard Road #05-32Ngee Ann City Podium Block Singapore (238872),"1.3026565, 103.8345677",Japanese
Mizume,41 Hong Kong Street #01-01Singapore,"1.2873792, 103.847527",Japanese
Mizuya,11 Cavan Road#01-04Cavan Suites Singapore (209848),"1.3109164, 103.8613657",Japanese
MO BAR,5 Raffles Avenue The Mandarin Oriental Singapore (039797),"1.2908185, 103.8582972",Bar
MoboMoga,207 River Valley Road#01-58UE Square River Wing Singapore (238275),"1.2928434, 103.8419958","Bar, Japanese"
Moghul Mahal Restaurant,2 Tessensohn Road#03-01Khalsa Association Singapore (217646),"1.31652, 103.85713",Indian
Mona Lounge,25 Boon Tat Street#02-01Singapore (069622),"1.2813178, 103.8486311","Bar, Chinese"
Mondo Mio Italian Restaurant & Bar,30 Robertson Quay#01-02A/03Riverside View Singapore (238251),"1.291333, 103.8414166","Bar, Italian, Vegetarian Friendly"
Monte Risaia,59 Duxton Road Singapore (089523),"1.2779341, 103.8433102","Japanese, Italian"
Monti,82 Collyer Quay The Fullerton Pavilion Singapore (049327),"1.2846535, 103.8539926","Modern European, Italian"
Monzen@Gardens,1 Maju Ave#01-09/10my Village@Serangoon Garden Singapore (556679),"1.3650699, 103.8652075","Japanese, Fusion"
Moonstone,103 Amoy Street Singapore (069923),"1.2816642, 103.847402","Bar, Southeast Asian, Modern Asian"
Moosehead Kitchen and Bar,"110 Telok Ayer Street,Singapore (068579)","1.2820635, 103.8482734",Modern European
MooTeow Chilli Beef Kway Teow,73 Circular Road#01-01Singapore (049427),"1.2866106, 103.8489358","Chinese, Local"
Morettino Italian Café & Bistro,100 Tras Street#01-04100 AM Singapore (079027),"1.2750063, 103.8435656","Bar, Italian, Cafe"
Morganfield's Suntec City,3 Temasek Boulevard#01-645/646Suntec City Singapore (038983),"1.2943939, 103.8602506","American, Bar, Australian, BBQ"
Morsels,25 Dempsey Road#01-04Singapore (249670),"1.3063069, 103.8119617",Fusion
Morton's The Steakhouse,5 Raffles Avenue4th Floor Mandarin Oriental Singapore Singapore (039797),"1.2908185, 103.8582972","American, Bar, Steakhouse, Vegetarian Friendly, Cajun"
Motorino,"3A River Valley Road #01-01A,Clarke Quay Singapore (179020)","1.2902826, 103.8451049","Italian, Vegetarian Friendly"
Mouth Restaurant,38 Maxwell Road#01-01Air View Building Singapore (069116),"1.2788889, 103.8450403","Chinese, Seafood, Vegetarian Friendly, Dim Sum, Zi Char"
Mr Biryani,8 Shenton Way#B1-24AXA Tower Singapore (068811),"1.2757877, 103.8472211","Indian, Vegetarian Friendly, Local"
Mr Lion HotPot,42 Smith Street Singapore (058956),"1.2827489, 103.8436611","Chinese, Local, Steamboat"
Muchos,3D River Valley Road#01-04Clarke Quay Singapore (179023),"1.2898252, 103.8455401",Mexican
MxG Classics,83/84 Circular Road#01-01Singapore (049435),"1.2873385, 103.848832","Chinese, Fusion, Local"
MY Cafe & Bar,207 Balestier Road Singapore (329683),"1.3210106, 103.8525798","American, Bar, All-Day Breakfast, Vegetarian Friendly, Cafe, Pizza, Burgers"
My Little Spanish Place (Boat Quay),"54 Boat Quay,Singapore (049843)","1.2872065, 103.8493309",Spanish
My Little Spanish Place (Bukit Timah),"619 Bukit Timah Road, Singapore (269720)","1.3244916, 103.8093134",Spanish
My Little Tapas Bar,14 Ann Siang Road Singapore (069694),"1.2812521, 103.8455394","Bar, Spanish"
Naga Imo,82 Club Street Singapore (069450),"1.2819632, 103.845599","Bar, Japanese, Vegetarian Friendly"
Nalati Restaurant & Events,"9 Raffles Place Level 1 & 2, (Walk in via Distrii Main Entrance)Republic Plaza 1Singapore (048619)","1.2831532, 103.8511017","Chinese, Fusion, Local, Zi Char"
NAMI,"22 Orange Grove Road Level 3Valley Wing, State Room Shangri-La Hotel Singapore (258350)","1.3112195, 103.8263306",Japanese
Nan Jing Restaurant,500 Jalan Sultan#01-10Singapore,"1.3056188, 103.8603467","Chinese, Seafood, Local"
Nanami Izakaya,8 Enggor Street#01-04Singapore (079718),"1.2744995, 103.8447681",Japanese
Nanbantei Japanese Restaurant (Chinatown Point),133 New Bridge Road#02-40Chinatown Point Singapore (059413),"1.2852093, 103.8447228","Japanese, Vegetarian Friendly"
Nanbantei Japanese Restaurant (Far East Plaza),"14 Scotts Road #05-132,Far East Plaza Singapore (228213)","1.3070083, 103.8333386","Japanese, Vegetarian Friendly"
Nanjing Impressions,68 Orchard Road#04-46Plaza Singapura Singapore (238839),"1.3005317, 103.8452356","Chinese, Dim Sum"
Napoleon Food & Wine Bar,206 Telok Ayer Street Singapore (068641),"1.2800209, 103.8471631","Bar, Modern European, French"
Nasi Nuri (Delivery),"10 Tampines North Drive 4#01-05JTC Space, Tampines Food Co Kitchen 14Singapore 528553","1.365726, 103.9320521",Local
Nassim Hill Bakery Bistro Bar,56 Tanglin Road#01-03Tanglin Post Office Singapore (247964),"1.305515, 103.8229623","American, Seafood, All-Day Breakfast, Cafe, Pizza, Burgers"
National Kitchen by Violet Oon (National Gallery),1 St Andrews Road#02-01Singapore (178957),"1.2902701, 103.8517658","Local, Peranakan"
Native Kitchen,10 Artillery Avenue#02-02Village Hotel at Sentosa Singapore (099951),"1.2523958, 103.8201982","International, Local"
Neon Pigeon,36 Carpenter Street#01-01Singapore (059915),"1.2880169, 103.8477094",Japanese
New Fut Kai Vegetarian 新佛界素食,282B Jalan Besar Singapore (208945),"1.3105001, 103.8587338","Chinese, Fusion, Vegetarian"
New Ubin CHIJMES,30 Victoria Street#02-01B/CCHIJMES Singapore (187996),"1.2953653, 103.852459","Seafood, Vegetarian Friendly, Local, Zi Char"
New Ubin Tampines,18 Tampines Industrial Crescent#01-16Singapore (528605),"1.3753869, 103.930532","Seafood, Local, Zi Char"
New Ubin Zhongshan Park,16 Ah Hood Road Ramada by Wyndham Singapore at Zhongshan Park Singapore (329982),"1.3270456, 103.8465073","Seafood, Vegetarian Friendly, Local, Zi Char"
Next Door Spanish Cafe,699 East Coast Road Singapore,"1.311731, 103.922229",Spanish
Ni Pang Zi Grilled Fish,77 Boat Quay Singapore (049865),"1.2882587, 103.8491949","Chinese, Steamboat, BBQ"
Nickeldime Novena,275 Thomson Road#01-01Novena Regency Singapore (307645),"1.3209485, 103.8417736","American, Australian, British, Cafe, Pizza, Burgers"
Niku Katsumata,47 Duxton Road Singapore (089511),"1.278464, 103.8434019",Japanese
Ninethirty by Awfully Chocolate,131 East Coast Road Singapore (428816),"1.3061279, 103.904984","Bar, All-Day Breakfast, Cafe"
No Signboard Seafood (Esplanade Mall),8 Raffles Avenue#01-14/16Esplanade Mall Singapore (039802),"1.2891594, 103.855659","Chinese, Seafood, Local"
No Signboard Seafood (VivoCity),1 Harbourfront Walk#03-02Vivo City Singapore (098585),"1.2644023, 103.8225522","Chinese, Seafood, Vegetarian Friendly, Dim Sum"
NOKA by Open Farm Community,"109 North Bridge Road#07-38/39Funan Mall Singapore (179097)(Lift Lobby A, near North Bridge Road entrance)","1.3010137, 103.8577387","Japanese, Vegetarian Friendly"
The Nomads,70 Telok Ayer Street Singapore (048458),"1.2830095, 103.848872","Modern European, Fusion, Modern Asian"
Noodle Thai Thai Kitchen @ Beach Road,327 Beach Road Singapore (199560),"1.3012613, 103.8611825","Thai, Vegetarian Friendly"
Noosh Noodle Bar and Grill,8 Raffles Avenue#01-13B Esplanade Mall Singapore (039802),"1.2895133, 103.8563984","Fusion, Local, Cafe"
NOX - Dine in the Dark,269 Beach Road Singapore (199546),"1.3006257, 103.8601877","French, Fusion, Vegetarian Friendly"
Nozomi by Yoshi,9 Raffles Boulevard#02-06Millenia Walk Singapore (039596),"1.2920715, 103.859851",Japanese
Nozomi by Yoshi (Delivery),9 Raffles Boulevard02-06Millenia Walk Singapore,"1.2920715, 103.859851",Mon-Sun: 12:30-9pm
Nutmeg & Clove,10A Ann Siang Hill Singapore (069789),"1.2814135, 103.8454703",Bar
O'maJ (Previously Pasta J),273 Thomson Road#01-06Novena Gardens Singapore (307644),"1.3205039, 103.8420743","Steakhouse, Modern Asian"
Oasis Restaurant,Grand Hyatt Singapore10 Scotts Road Level 5Terrace Wing Singapore (228211),"1.3065838, 103.8331003","American, Bar, Buffet, International, Seafood, Vegetarian Friendly"
Oberstrasse,809 French Road#1-50Singapore (200809),"1.3084036, 103.8622518","All-Day Breakfast, Dessert Only"
Ocean Restaurant,22 Sentosa Gateway#B1-455/456Resorts World Singapore Singapore (098136),"1.2581647, 103.8175942",Seafood
Oceanspoon Dining (Sembawang Country Club),249 Sembawang Road Singapore (758352),"1.4063019, 103.8196099","Bar, Local, BBQ"
Ohana,562 Serangoon Road Singapore (218178),"1.3143382, 103.8577003","Fusion, Seafood, Local"
Ola Beach Club,46 Siloso Beach Walk Singapore (099005),"1.2531005, 103.8154224","Bar, Vegetarian Friendly"
OLA Cocina Del Mar,"12 Marina Boulevard #01-06,Marina Bay Financial Centre Tower 3,Singapore (018982)","1.2790221, 103.8544967",Spanish
Old Hen Kitchen,127 Owen Road Singapore (218931),"1.3140059, 103.8526427","All-Day Breakfast, Cafe"
Old Hong Kong Kitchen (Novena),10 Sinaran Drive#02-80Square 2Singapore (307506),"1.3208322, 103.8441474","Chinese, Vegetarian Friendly, Dim Sum"
Old Hong Kong Kitchen (Paya Lebar),11 Tanjong Katong Road#02-21Kinex Mall Singapore (437157),"1.3147221, 103.8947554","Chinese, Vegetarian Friendly, Dim Sum"
Old School Delights (Esplanade),8 Raffles Ave#02-25Esplanade Mall Singapore (039802),"1.2896256, 103.8562224","Vegetarian Friendly, Local, Cafe"
The Old Straits Cafe,30 Selegie Road#01-01Selegie Arts Centre Singapore (188351),"1.300122, 103.849856","International, Local, Cafe"
Olivia Restaurant & Lounge,55 Keong Saik Road#01-03Singapore (089158),"1.2806857, 103.8414578","Spanish, International"
One-Ninety,190 Orchard Boulevard Lobby Level Four Seasons Hotel Singapore Singapore (248646),"1.3052778, 103.8283333","Buffet, International, Vegetarian Friendly, Local"
One-Ninety Bar,190 Orchard Boulevard Four Seasons Hotel Singapore Singapore (248646),"1.3052778, 103.8283333","Bar, International, Vegetarian Friendly"
Onepot Steamboat Buffet,7 Dunlop Street Singapore (209337),"1.30421, 103.854377","Buffet, Chinese, Steamboat"
Oops Bistro & Bar,8 Jalan Legundi Singapore (759274),"1.441594, 103.823693","Bar, Malaysian, Fusion, Vegetarian Friendly, Local"
Open Farm Community,130E Minden Road Singapore (248819),"1.3058732, 103.8155189","Modern European, Fusion, British, Vegetarian Friendly, Local, Cafe"
OPIO Kitchen & Bar (formerly known as Blue Lotus Kitchen & Bar),991B Alexandra Road#01-10Singapore (119970),"1.291195, 103.8198244","Bar, Modern Asian"
OPPA Korean BBQ Buffet (Jurong East-JCube),2 Jurong East Central 1#03-10J Cube Singapore (609731),"1.33331, 103.7401992","Buffet, Korean, BBQ"
Opus Bar & Grill,581 Orchard Road Hilton Singapore Singapore (238883),"1.305891, 103.82942","Bar, International, Steakhouse, Vegetarian Friendly"
Origin Grill,22 Orange Grove Road Lobby Level Shangri-La Hotel Singapore Singapore (258350),"1.3112195, 103.8263306","Bar, Modern European, Australian, International, Seafood, Steakhouse, Vegetarian Friendly"
Original Sin,"Blk 43 #01-62 Jalan Merah Saga, Chip Bee Gardens Singapore 278115","1.310805, 103.796499","Italian, Middle Eastern, Greek, Vegetarian"
Oriole Coffee + Bar,96 Somerset Road#01-01Pan Pacific Serviced Suites Singapore (238163),"1.3009188, 103.8377695","Fusion, All-Day Breakfast, Vegetarian Friendly, Cafe, Pizza, Burgers"
Oscar's,2 Temasek Boulevard Conrad Centennial Hotel Singapore (038982),"1.2932404, 103.8587623","Buffet, International"
OSG Music Bar + Kitchen,3 Temasek Boulevard#01-510/511Suntec City Mall Tower 1Singapore (038983),"1.29503, 103.8583026","Bar, Fusion, Local, Pizza"
Osia Steak & Seafood Grill,26 Sentosa Gateway#02-140/141Resorts World Sentosa Singapore (098138),"1.255179, 103.8218107","Australian, Steakhouse"
The Other Roof,28 Ann Siang Road Singapore (069708),"1.2807255, 103.8457872",Bar
The Other Room,320 Orchard Road Singapore Marriott Tang Plaza Hotel Singapore (238865),"1.3052364, 103.8325395",Bar
OTTO Ristorante,32 Maxwell Road#01-02/03Maxwell Chambers Singapore (069115),"1.2770184, 103.8463762","Modern European, Italian"
Outback Steakhouse,277 Orchard Road#04-01Orchard Gateway Singapore (238858),"1.3009584, 103.8389111","Australian, Steakhouse, Burgers"
OverEasy (One Fullerton),1 Fullerton Road#01-06One Fullerton Singapore (049213),"1.2861349, 103.8539595","American, Bar, All-Day Breakfast, Burgers"
Oyster Co. (Magazine Road),1 Magazine Road#01-06Central Mall Singapore (059567),"1.2883359, 103.8422525","American, Bar, Seafood"
Pagi Sore (Far East Square),"88/90 Telok Ayer Street, Far East Square Singapore (048470)","1.2826525, 103.8486831","Indonesian, Halal Certified"
Palm Beach Seafood Restaurant,"1 Fullerton Road, #01-09One Fullerton, Singapore (049213)","1.2864442, 103.8542578","Chinese, Seafood, Local, Zi Char"
"Pano Kato Grill, Pizza & Deli",163 Tanglin Road#02-23Tanglin Mall Singapore (247933),"1.3048533, 103.8236186","Italian, International, Middle Eastern, Seafood, Steakhouse, Greek, Vegetarian Friendly, Pizza, Mediterranean"
Paper Rice Vietnamese Kitchen,5 Changi Business Park Central 1#B1-26/27Changi City Point Singapore (486038),"1.334638, 103.9623868","Vietnamese, Vegetarian Friendly"
Paprika & Cumin,30 Victoria Street#01-15/16CHIJMES Singapore (187996),"1.2976493, 103.8532984","American, Bar, Fusion"
Park90,1 Cuscaden Road Lobby Regent Singapore Singapore (249715),"1.3047203, 103.8248939","Bar, Fusion, Local"
Pasha Mezza and Grill,14 Haji Lane Singapore (189207),"1.300461, 103.859393","Middle Eastern, Turkish"
Pasta Brava,11 Craig Road Singapore (089671),"1.2777219, 103.842684","Italian, Vegetarian Friendly"
Pasta Fresca Da Salvatore (Boat Quay),30 Boat Quay Singapore (049819),"1.2860673, 103.8498748","Bar, Italian"
Pasta Fresca Da Salvatore (Bukit Timah),1 Fifth Avenue#01-02Guthrie House Singapore (268802),"1.3308419, 103.7956357","Bar, Italian, Vegetarian Friendly"
Pasta Fresca Da Salvatore (Siglap),9 Upper East Coast Road#01-01Singapore (455203),"1.312946, 103.925502","Bar, Italian"
Pastaria Abate (Tanjong Pagar),43 Craig Road Singapore (089681),"1.2781083, 103.8420323","Italian, Vegetarian Friendly"
Patara Fine Thai Cuisine,163 Tanglin Road#03-14Tanglin Mall Singapore (247933),"1.3048533, 103.8236186","Thai, International, Vegetarian Friendly"
Paulaner Bräuhaus,9 Raffles Boulevard#01-01Millenia Walk Singapore (039596),"1.2930767, 103.8582873",German
Pazzion Cafe,78 Airport Boulevard#B1-243Jewel Changi Airport Singapore (819666),"1.3602082, 103.9897593","Bar, All-Day Breakfast, Cafe"
Peach Garden (Chinatown Point),133 New Bridge Road#02-36Chinatown Point Singapore (059413),"1.2852093, 103.8447228","Chinese, Vegetarian Friendly, Dim Sum"
Peach Garden (Hotel Miramar),401 Havelock Road Level 3 Hotel Miramar Singapore (169631),"1.2885203, 103.8373891","Buffet, Chinese, Vegetarian Friendly, Dim Sum"
Peach Garden (OCBC Centre),65 Chulia Street Level 33OCBC Centre Singapore (049513),"1.285184, 103.8488954","Chinese, Vegetarian Friendly, Dim Sum"
Peach Garden (The Metropolis),9 North Buona Vista Drive#02-021 The Metropolis Tower Singapore (138588),"1.3059208, 103.7915907","Chinese, Vegetarian Friendly, Dim Sum"
Peach Garden (Thomson Plaza),301 Upper Thomson Road#01-88Thomson Plaza Singapore (574408),"1.3547724, 103.8314771","Chinese, Dim Sum"
Peng Cheng Xiao Chu 彭城小厨,45 Temple Street Singapore (058590),"1.2831497, 103.8437008","Chinese, Seafood, Vegetarian Friendly, Dim Sum, Steamboat"
Peony Jade @ Keppel Club,10 Bukit Chermin Road Mezzanine Singapore (109918),"1.266834, 103.8074454","Chinese, Dim Sum"
Peperoni (Biopolis),10 Biopolis Road#01-01Chromos Block Singapore (138670),"1.3040831, 103.7912893","Italian, Vegetarian Friendly, Pizza"
Peperoni (Frankel),95 Frankel Ave Singapore (458221),"1.314865, 103.9193495","Italian, Pizza"
Peperoni (Greenwood),6 Greenwood Avenue Hillcrest Park Singapore (289195),"1.3312371, 103.8072633","Italian, Vegetarian Friendly, Pizza"
Peperoni (Suntec City),3 Temasek Boulevard#B1-130Suntec City Mall Singapore (038983),"1.29503, 103.8583026","Italian, Pizza"
Peperoni (Upper Thomson),267 Upper Thomson Road Singapore (574394),"1.353611, 103.8332532","Italian, Vegetarian Friendly, Pizza"
Peperoni (Zion),56 Zion Road Singapore (247781),"1.2927324, 103.8310451","Italian, Pizza"
Perch,78 Airport Boulevard#02-244/245Jewel Changi Airport Singapore (819666),"1.3603912, 103.989642","Modern European, Fusion, Modern Asian"
Pete's Place,"Grand Hyatt Singapore,10 Scotts Road,Basement Level,Singapore (228211)","1.3065838, 103.8331003","Buffet, Italian, Vegetarian Friendly"
Piatto Bistro Bar,5 Balmoral Crescent Singapore (259895),"1.3158402, 103.8343967","American, Italian"
Pietro Ristorante Italiano,12 Jalan Kelulut Seletar Hills Singapore (809030),"1.3832306, 103.8760481",Italian
Pince & Pints Restaurant and Bar (Duxton),33 Duxton Road Singapore (089496),"1.2790295, 103.8433861","American, Bar, Seafood"
The Pit Restaurant & Bar,21 Lorong Liput Singapore (277733),"1.3106053, 103.7952508",Bar
Pizza Addiction (HQ),62 Ubi Road 1Level 11 Rooftop Oxley Bizhub 2Singapore (408734),"1.3319006, 103.8917054","American, Italian, Fusion, Pizza"
Pizza Fabbrica,8 Haji lane Singapore (189201),"1.300398, 103.859444","Italian, Vegetarian Friendly, Pizza"
PizzaExpress (Duo),7 Fraser Street#01-01/02Duo Galleria Singapore (189356),"1.2992641, 103.8579913","Italian, Pizza"
